# timestamp(s) x y z q_x q_y q_z q_w
0 25 5 5 6.11303e-18 0.0998334 0.995004 6.09264e-17
0.0025 25 5.01963 5.02356 -0.000412331 0.0998329 0.995004 -0.0003533
0.005 25 5.03927 5.04712 -0.000824658 0.0998315 0.995004 -0.0007066
0.0075 24.9999 5.0589 5.07068 -0.00123698 0.0998292 0.995003 -0.0010599
0.01 24.9999 5.07854 5.09423 -0.00164929 0.0998259 0.995003 -0.00141321
0.0125 24.9998 5.09817 5.11778 -0.00206159 0.0998216 0.995002 -0.00176652
0.015 24.9998 5.11781 5.14132 -0.00247387 0.0998164 0.995001 -0.00211983
0.0175 24.9997 5.13744 5.16485 -0.00288613 0.0998103 0.994999 -0.00247314
0.02 24.9996 5.15708 5.18837 -0.00329837 0.0998032 0.994998 -0.00282647
0.0225 24.9995 5.17671 5.21188 -0.00371059 0.0997952 0.994996 -0.00317979
0.025 24.9994 5.19635 5.23538 -0.00412277 0.0997862 0.994994 -0.00353313
0.0275 24.9993 5.21598 5.25886 -0.00453492 0.0997763 0.994992 -0.00388648
0.03 24.9991 5.23562 5.28232 -0.00494704 0.0997654 0.99499 -0.00423983
0.0325 24.999 5.25525 5.30577 -0.00535912 0.0997536 0.994987 -0.00459319
0.035 24.9988 5.27488 5.3292 -0.00577115 0.0997409 0.994984 -0.00494656
0.0375 24.9986 5.29452 5.35261 -0.00618314 0.0997272 0.994981 -0.00529995
0.04 24.9984 5.31415 5.376 -0.00659508 0.0997126 0.994978 -0.00565334
0.0425 24.9982 5.33378 5.39936 -0.00700697 0.099697 0.994975 -0.00600675
0.045 24.998 5.35342 5.4227 -0.00741881 0.0996805 0.994972 -0.00636018
0.0475 24.9978 5.37305 5.44602 -0.00783058 0.099663 0.994968 -0.00671361
0.05 24.9975 5.39268 5.4693 -0.0082423 0.0996446 0.994964 -0.00706707
0.0525 24.9973 5.41232 5.49256 -0.00865395 0.0996253 0.99496 -0.00742053
0.055 24.997 5.43195 5.51579 -0.00906553 0.099605 0.994955 -0.00777402
0.0575 24.9967 5.45158 5.53898 -0.00947704 0.0995837 0.994951 -0.00812752
0.06 24.9964 5.47121 5.56214 -0.00988848 0.0995616 0.994946 -0.00848104
0.0625 24.9961 5.49084 5.58527 -0.0102998 0.0995384 0.994941 -0.00883459
0.065 24.9958 5.51047 5.60836 -0.0107111 0.0995144 0.994936 -0.00918815
0.0675 24.9955 5.5301 5.63142 -0.0111223 0.0994894 0.994931 -0.00954173
0.07 24.9952 5.54973 5.65443 -0.0115334 0.0994635 0.994925 -0.00989533
0.0725 24.9948 5.56936 5.6774 -0.0119444 0.0994366 0.994919 -0.010249
0.075 24.9944 5.58899 5.70034 -0.0123553 0.0994088 0.994913 -0.0106026
0.0775 24.9941 5.60862 5.72323 -0.0127662 0.09938 0.994907 -0.0109563
0.08 24.9937 5.62825 5.74607 -0.0131769 0.0993503 0.994901 -0.01131
0.0825 24.9933 5.64788 5.76887 -0.0135875 0.0993197 0.994894 -0.0116637
0.085 24.9929 5.66751 5.79162 -0.013998 0.0992881 0.994888 -0.0120175
0.0875 24.9924 5.68714 5.81432 -0.0144084 0.0992556 0.994881 -0.0123712
0.09 24.992 5.70676 5.83697 -0.0148187 0.0992221 0.994874 -0.012725
0.0925 24.9916 5.72639 5.85957 -0.0152289 0.0991877 0.994866 -0.0130789
0.095 24.9911 5.74602 5.88212 -0.0156389 0.0991524 0.994859 -0.0134327
0.0975 24.9906 5.76564 5.90461 -0.0160489 0.0991161 0.994851 -0.0137866
0.1 24.9901 5.78527 5.92705 -0.0164587 0.0990789 0.994843 -0.0141406
0.1025 24.9896 5.80489 5.94943 -0.0168684 0.0990407 0.994835 -0.0144945
0.105 24.9891 5.82452 5.97175 -0.0172779 0.0990016 0.994826 -0.0148485
0.1075 24.9886 5.84414 5.99401 -0.0176873 0.0989616 0.994818 -0.0152025
0.11 24.9881 5.86377 6.01621 -0.0180966 0.0989207 0.994809 -0.0155566
0.1125 24.9875 5.88339 6.03835 -0.0185057 0.0988788 0.9948 -0.0159107
0.115 24.9869 5.90301 6.06042 -0.0189147 0.0988359 0.994791 -0.0162648
0.1175 24.9864 5.92263 6.08243 -0.0193235 0.0987922 0.994782 -0.016619
0.12 24.9858 5.94225 6.10437 -0.0197322 0.0987475 0.994772 -0.0169732
0.1225 24.9852 5.96188 6.12625 -0.0201407 0.0987019 0.994762 -0.0173274
0.125 24.9846 5.9815 6.14805 -0.0205491 0.0986553 0.994752 -0.0176817
0.1275 24.984 6.00111 6.16978 -0.0209573 0.0986078 0.994742 -0.018036
0.13 24.9833 6.02073 6.19144 -0.0213653 0.0985594 0.994732 -0.0183904
0.1325 24.9827 6.04035 6.21303 -0.0217732 0.09851 0.994721 -0.0187448
0.135 24.982 6.05997 6.23454 -0.0221809 0.0984597 0.99471 -0.0190992
0.1375 24.9813 6.07959 6.25598 -0.0225884 0.0984085 0.994699 -0.0194537
0.14 24.9807 6.0992 6.27734 -0.0229958 0.0983563 0.994688 -0.0198082
0.1425 24.98 6.11882 6.29862 -0.0234029 0.0983032 0.994677 -0.0201628
0.145 24.9793 6.13843 6.31982 -0.0238099 0.0982492 0.994665 -0.0205174
0.1475 24.9785 6.15805 6.34094 -0.0242167 0.0981943 0.994654 -0.0208721
0.15 24.9778 6.17766 6.36197 -0.0246233 0.0981384 0.994642 -0.0212268
0.1525 24.9771 6.19727 6.38292 -0.0250297 0.0980816 0.994629 -0.0215816
0.155 24.9763 6.21689 6.40379 -0.0254359 0.0980239 0.994617 -0.0219364
0.1575 24.9755 6.2365 6.42457 -0.025842 0.0979652 0.994605 -0.0222912
0.16 24.9747 6.25611 6.44526 -0.0262478 0.0979056 0.994592 -0.0226461
0.1625 24.9739 6.27572 6.46586 -0.0266534 0.0978451 0.994579 -0.0230011
0.165 24.9731 6.29533 6.48638 -0.0270588 0.0977837 0.994566 -0.0233561
0.1675 24.9723 6.31493 6.5068 -0.027464 0.0977213 0.994552 -0.0237112
0.17 24.9715 6.33454 6.52712 -0.0278689 0.097658 0.994539 -0.0240663
0.1725 24.9706 6.35415 6.54736 -0.0282737 0.0975938 0.994525 -0.0244215
0.175 24.9698 6.37375 6.5675 -0.0286782 0.0975287 0.994511 -0.0247767
0.1775 24.9689 6.39336 6.58754 -0.0290825 0.0974626 0.994497 -0.025132
0.18 24.968 6.41296 6.60748 -0.0294866 0.0973956 0.994482 -0.0254873
0.1825 24.9671 6.43257 6.62732 -0.0298904 0.0973277 0.994468 -0.0258427
0.185 24.9662 6.45217 6.64707 -0.030294 0.0972589 0.994453 -0.0261981
0.1875 24.9653 6.47177 6.66671 -0.0306974 0.0971892 0.994438 -0.0265536
0.19 24.9644 6.49137 6.68625 -0.0311005 0.0971185 0.994423 -0.0269092
0.1925 24.9634 6.51097 6.70569 -0.0315034 0.0970469 0.994407 -0.0272648
0.195 24.9625 6.53057 6.72502 -0.031906 0.0969744 0.994392 -0.0276205
0.1975 24.9615 6.55017 6.74424 -0.0323084 0.096901 0.994376 -0.0279762
0.2 24.9605 6.56976 6.76336 -0.0327105 0.0968267 0.99436 -0.0283321
0.2025 24.9595 6.58936 6.78236 -0.0331124 0.0967515 0.994344 -0.0286879
0.205 24.9585 6.60895 6.80126 -0.033514 0.0966753 0.994327 -0.0290439
0.2075 24.9575 6.62855 6.82005 -0.0339154 0.0965982 0.994311 -0.0293999
0.21 24.9565 6.64814 6.83872 -0.0343165 0.0965202 0.994294 -0.0297559
0.2125 24.9554 6.66773 6.85728 -0.0347173 0.0964413 0.994277 -0.030112
0.215 24.9544 6.68732 6.87573 -0.0351178 0.0963615 0.99426 -0.0304682
0.2175 24.9533 6.70691 6.89406 -0.0355181 0.0962808 0.994243 -0.0308245
0.22 24.9523 6.7265 6.91227 -0.0359181 0.0961992 0.994225 -0.0311808
0.2225 24.9512 6.74609 6.93037 -0.0363178 0.0961166 0.994207 -0.0315372
0.225 24.9501 6.76567 6.94834 -0.0367172 0.0960332 0.994189 -0.0318937
0.2275 24.9489 6.78526 6.9662 -0.0371163 0.0959488 0.994171 -0.0322502
0.23 24.9478 6.80484 6.98394 -0.0375151 0.0958635 0.994153 -0.0326068
0.2325 24.9467 6.82443 7.00155 -0.0379137 0.0957773 0.994134 -0.0329635
0.235 24.9455 6.84401 7.01904 -0.0383119 0.0956903 0.994115 -0.0333202
0.2375 24.9444 6.86359 7.0364 -0.0387099 0.0956023 0.994096 -0.0336771
0.24 24.9432 6.88317 7.05364 -0.0391075 0.0955134 0.994077 -0.034034
0.2425 24.942 6.90275 7.07075 -0.0395048 0.0954236 0.994058 -0.0343909
0.245 24.9408 6.92233 7.08774 -0.0399019 0.0953329 0.994038 -0.034748
0.2475 24.9396 6.9419 7.10459 -0.0402986 0.0952413 0.994018 -0.0351051
0.25 24.9383 6.96148 7.12132 -0.040695 0.0951488 0.993999 -0.0354623
0.2525 24.9371 6.98105 7.13792 -0.041091 0.0950554 0.993978 -0.0358196
0.255 24.9359 7.00062 7.15438 -0.0414868 0.0949611 0.993958 -0.0361769
0.2575 24.9346 7.0202 7.17071 -0.0418822 0.0948659 0.993937 -0.0365343
0.26 24.9333 7.03977 7.18691 -0.0422773 0.0947698 0.993917 -0.0368919
0.2625 24.932 7.05933 7.20297 -0.042672 0.0946728 0.993896 -0.0372494
0.265 24.9307 7.0789 7.21889 -0.0430665 0.0945749 0.993875 -0.0376071
0.2675 24.9294 7.09847 7.23468 -0.0434606 0.0944761 0.993853 -0.0379649
0.27 24.9281 7.11803 7.25033 -0.0438543 0.0943764 0.993832 -0.0383227
0.2725 24.9268 7.1376 7.26585 -0.0442477 0.0942759 0.99381 -0.0386806
0.275 24.9254 7.15716 7.28122 -0.0446408 0.0941744 0.993788 -0.0390386
0.2775 24.924 7.17672 7.29645 -0.0450335 0.0940721 0.993766 -0.0393967
0.28 24.9227 7.19628 7.31154 -0.0454258 0.0939688 0.993743 -0.0397548
0.2825 24.9213 7.21584 7.32649 -0.0458178 0.0938647 0.993721 -0.0401131
0.285 24.9199 7.2354 7.34129 -0.0462094 0.0937597 0.993698 -0.0404714
0.2875 24.9185 7.25495 7.35595 -0.0466007 0.0936538 0.993675 -0.0408299
