# timestamp(s) x y z q_x q_y q_z q_w
0 25 5.01963 5.02356 -0.000412331 0.0998334 0.995004 -0.0003533
0.0025 25 5.03927 5.04712 -0.00082466 0.0998325 0.995004 -0.0007066
0.005 24.9999 5.0589 5.07068 -0.00123698 0.0998306 0.995004 -0.0010599
0.0075 24.9999 5.07854 5.09424 -0.0016493 0.0998278 0.995003 -0.00141321
0.01 24.9998 5.09817 5.11779 -0.00206161 0.099824 0.995002 -0.00176651
0.0125 24.9998 5.11781 5.14133 -0.0024739 0.0998193 0.995001 -0.00211982
0.015 24.9997 5.13744 5.16487 -0.00288617 0.0998136 0.995 -0.00247314
0.0175 24.9996 5.15708 5.18839 -0.00329842 0.099807 0.994999 -0.00282646
0.02 24.9995 5.17671 5.21191 -0.00371065 0.0997994 0.994997 -0.00317979
0.0225 24.9994 5.19635 5.23541 -0.00412284 0.0997909 0.994995 -0.00353312
0.025 24.9993 5.21598 5.2589 -0.00453501 0.0997815 0.994993 -0.00388646
0.0275 24.9991 5.23562 5.28238 -0.00494715 0.0997711 0.994991 -0.00423982
0.03 24.999 5.25525 5.30583 -0.00535924 0.0997598 0.994988 -0.00459318
0.0325 24.9988 5.27488 5.32927 -0.0057713 0.0997475 0.994986 -0.00494655
0.035 24.9986 5.29452 5.35269 -0.00618331 0.0997343 0.994983 -0.00529993
0.0375 24.9984 5.31415 5.37609 -0.00659527 0.0997201 0.99498 -0.00565332
0.04 24.9982 5.33378 5.39947 -0.00700719 0.099705 0.994977 -0.00600673
0.0425 24.998 5.35342 5.42282 -0.00741905 0.099689 0.994973 -0.00636015
0.045 24.9978 5.37305 5.44614 -0.00783085 0.099672 0.99497 -0.00671358
0.0475 24.9975 5.39268 5.46944 -0.0082426 0.099654 0.994966 -0.00706703
0.05 24.9973 5.41231 5.49272 -0.00865428 0.0996352 0.994962 -0.0074205
0.0525 24.997 5.43195 5.51596 -0.00906589 0.0996153 0.994958 -0.00777398
0.055 24.9967 5.45158 5.53917 -0.00947744 0.0995946 0.994953 -0.00812748
0.0575 24.9964 5.47121 5.56235 -0.00988891 0.0995729 0.994949 -0.008481
0.06 24.9961 5.49084 5.58549 -0.0103003 0.0995502 0.994944 -0.00883453
0.0625 24.9958 5.51047 5.6086 -0.0107116 0.0995267 0.994939 -0.00918809
0.065 24.9955 5.5301 5.63167 -0.0111229 0.0995021 0.994933 -0.00954167
0.0675 24.9951 5.54973 5.65471 -0.011534 0.0994767 0.994928 -0.00989527
0.07 24.9948 5.56936 5.6777 -0.0119451 0.0994503 0.994922 -0.0102489
0.0725 24.9944 5.58899 5.70065 -0.012356 0.0994229 0.994917 -0.0106025
0.075 24.9941 5.60862 5.72356 -0.0127669 0.0993946 0.99491 -0.0109562
0.0775 24.9937 5.62825 5.74643 -0.0131777 0.0993654 0.994904 -0.0113099
0.08 24.9933 5.64788 5.76925 -0.0135883 0.0993352 0.994898 -0.0116636
0.0825 24.9928 5.66751 5.79203 -0.0139989 0.0993041 0.994891 -0.0120174
0.085 24.9924 5.68713 5.81475 -0.0144094 0.0992721 0.994884 -0.0123711
0.0875 24.992 5.70676 5.83743 -0.0148197 0.0992391 0.994877 -0.0127249
0.09 24.9915 5.72639 5.86006 -0.0152299 0.0992051 0.99487 -0.0130788
0.0925 24.9911 5.74601 5.88263 -0.01564 0.0991703 0.994863 -0.0134326
0.095 24.9906 5.76564 5.90515 -0.01605 0.0991345 0.994855 -0.0137865
0.0975 24.9901 5.78527 5.92762 -0.0164599 0.0990977 0.994847 -0.0141404
0.1 24.9896 5.80489 5.95002 -0.0168696 0.09906 0.994839 -0.0144944
0.1025 24.9891 5.82451 5.97237 -0.0172792 0.0990214 0.994831 -0.0148484
0.105 24.9886 5.84414 5.99467 -0.0176887 0.0989819 0.994822 -0.0152024
0.1075 24.988 5.86376 6.0169 -0.018098 0.0989414 0.994814 -0.0155564
0.11 24.9875 5.88338 6.03906 -0.0185072 0.0989 0.994805 -0.0159105
